id,name,latitude,longitude,active,explosive,startyear,startmonth
151,Krakatau,-6.102,105.423,FALSE,1,2014,3
152,Shishaldin,54.756,-163.97,FALSE,1,2014,1
153,Pavlof,55.417,-161.894,FALSE,1,2014,11
154,Nyamuragira,-1.408,29.2,FALSE,0,2014,5
155,Pavlof,55.417,-161.894,FALSE,3,2014,5
156,Hunga Tonga-Hunga Ha'apai,-20.536,-175.382,FALSE,2,2014,12
157,Marapi,-0.38,100.474,FALSE,1,2014,2
158,Pacaya,14.382,-90.601,FALSE,1,2014,8
159,Villarrica,-39.42,-71.93,TRUE,1,2014,12
160,Manam,-4.08,145.037,TRUE,2,2014,6
161,Copahue,-37.856,-71.183,FALSE,1,2014,7
162,Semeru,-8.108,112.922,TRUE,3,2014,4
163,Zhupanovsky,53.589,159.15,FALSE,3,2014,6
164,Mayon,13.257,123.685,FALSE,0,2014,8
165,Asosan,32.884,131.104,FALSE,2,2014,8
166,Asosan,32.884,131.104,FALSE,1,2014,1
167,Ontakesan,35.893,137.48,FALSE,3,2014,9
168,Rincon de la Vieja,10.83,-85.324,FALSE,1,2014,9
169,San Cristobal,12.702,-87.004,FALSE,2,2014,7
170,Gamalama,0.8,127.33,FALSE,2,2014,12
171,Karangetang,2.781,125.407,FALSE,2,2014,6
172,Karangetang,2.781,125.407,FALSE,1,2014,2
173,"Fournaise, Piton de la",-21.244,55.708,FALSE,0,2014,6
174,San Cristobal,12.702,-87.004,FALSE,1,2014,2
175,Ahyi,20.42,145.03,FALSE,0,2014,4
176,Chirinkotan,48.98,153.48,FALSE,2,2014,11
177,Sangeang Api,-8.2,119.07,FALSE,3,2014,5
178,Karkar,-4.649,145.964,FALSE,1,2014,3
179,Bardarbunga,64.633,-17.516,FALSE,0,2014,8
180,Ulawun,-5.05,151.33,FALSE,1,2013,7
181,Rabaul,-4.271,152.203,FALSE,2,2013,1
182,Karkar,-4.649,145.964,FALSE,3,2013,1
183,Barren Island,12.278,93.858,FALSE,2,2013,10
184,Ubinas,-16.355,-70.903,FALSE,2,2013,9
185,Lascar,-23.37,-67.73,FALSE,1,2013,4
186,Barren Island,12.278,93.858,FALSE,1,2013,2
187,Colima,19.514,-103.62,FALSE,2,2013,1
188,Sinabung,3.17,98.392,FALSE,4,2013,9
189,Telica,12.606,-86.84,FALSE,1,2013,9
190,Veniaminof,56.17,-159.38,FALSE,3,2013,6
